name,time,price,rsi,sharpe,action
AMKR,2000/01/12,31.25,66.6162,0.203997,sell
XEL,2000/01/03,7.96973,29.6965,-0.320338,buy
XEL,2000/01/12,8.57375,62.3757,0.151759,sell
PNC,2000/01/03,23.7187,23.7907,-0.481492,buy
PNC,2000/01/13,26.0298,53.4138,0.0357135,sell
CBT,2000/01/04,7.31336,46.2409,0.110035,buy
CBT,2000/01/13,7.97376,63.9762,0.241641,sell
TEO,2000/01/07,17.3709,47.8351,-0.00993451,buy
TEO,2000/01/13,20.2195,70.1778,0.217338,sell
TWI,2000/01/11,4.3675,42.6966,0.031322,buy
TWI,2000/01/13,4.91344,54.8338,0.119973,sell
CNI,2000/01/04,2.83549,30.882,-0.262984,buy
CNI,2000/01/14,3.11904,52.267,-0.0665718,sell
SPNS,2000/01/05,62.4465,48.6151,-0.0544945,buy
SPNS,2000/01/14,76.256,63.6251,0.186737,sell
RES,2000/01/07,0.525593,29.4558,-0.395044,buy
RES,2000/01/14,0.62221,61.7461,-0.00263953,sell
HAL,2000/01/05,13.6976,45.7203,0.0939362,buy
HAL,2000/01/18,15.3303,58.5923,0.184011,sell
WPC,2000/01/04,4.46828,47.7105,-0.0461735,buy
WPC,2000/01/18,4.55253,55.7669,0.103632,sell
TARO,2000/01/04,5.73832,45.8987,0.00283464,buy
TARO,2000/01/18,6.07072,54.3043,0.20563,sell
PXD,2000/01/12,7.82596,43.9647,0.0482914,buy
PXD,2000/01/18,8.90122,59.6865,0.132034,sell
D,2000/01/03,8.35479,9.82832,-0.82801,buy
D,2000/01/19,9.25754,58.2773,0.124099,sell
CMCSA,2000/01/04,11.6474,42.9043,0.0370563,buy
CMCSA,2000/01/19,13.853,60.1696,0.113686,sell
BCE,2000/01/05,6.44095,49.4708,0.11244,buy
BCE,2000/01/19,7.36506,62.4878,0.181584,sell
STM,2000/01/05,30.0794,49.6806,0.0123874,buy
STM,2000/01/20,36.7158,69.2585,0.163583,sell
AAPL,2000/01/06,2.9518,44.9443,-0.147765,buy
AAPL,2000/01/20,3.52662,61.5737,0.1204,sell
SCSC,2000/01/11,9.8125,46.0541,0.0347364,buy
SCSC,2000/01/20,10.9375,62.2244,0.0745742,sell
OFG,2000/01/10,8.56445,38.3949,0.0481169,buy
OFG,2000/01/20,9.12802,54.1543,-0.0307409,sell
WGO,2000/01/03,8.10128,48.7495,-0.0231246,buy
WGO,2000/01/24,8.90478,67.2319,0.123998,sell
DDD,2000/01/14,2.5,41.7827,-0.164965,buy
DDD,2000/01/24,3.29333,70.6043,0.189229,sell
MEOH,2000/01/19,1.65015,46.2482,0.0482724,buy
MEOH,2000/01/24,2.02356,64.2165,0.195813,sell
FBNC,2000/01/14,6.10098,39.4104,-0.128552,buy
FBNC,2000/01/24,6.61036,55.7737,0.192015,sell
ANAT,2000/01/12,31.5314,40.1305,-0.0569195,buy
ANAT,2000/01/25,32.5695,50.9192,-0.00386917,sell
ANIK,2000/01/06,6.703,45.7751,-0.231601,buy
ANIK,2000/01/25,8,71.4606,0.178257,sell
PTC,2000/01/03,62.825,45.0495,-0.0917366,buy
PTC,2000/01/25,57.2,50.5414,-0.0927777,sell
SBSI,2000/01/19,1.23277,36.0842,-0.1754,buy
SBSI,2000/01/26,1.28637,51.279,0.0110903,sell
FII,2000/01/04,5.74984,48.0631,0.174772,buy
FII,2000/01/26,6.08986,62.8515,-0.0151397,sell
JBSS,2000/01/13,2.55104,46.6164,0.0583651,buy
JBSS,2000/01/26,3.55324,69.3772,0.247743,sell
THO,2000/01/06,4.52429,47.9352,-0.0401749,buy
THO,2000/01/27,4.74224,58.6897,0.0138517,sell
BBVA,2000/01/11,5.23549,39.7847,-0.212332,buy
BBVA,2000/01/27,5.2086,53.1011,-0.100778,sell
INFY,2000/01/14,3.43616,47.5857,0.161857,buy
INFY,2000/01/27,4.01827,60.3325,0.0512631,sell
ERIC,2000/01/06,46.9778,46.6291,-0.143548,buy
ERIC,2000/01/28,58.2525,63.2948,0.145093,sell
GFF,2000/01/21,5.97076,42.0772,0.00451342,buy
GFF,2000/01/31,6.28909,54.0017,-0.0859533,sell
CMA,2000/01/04,24.2747,30.294,-0.358253,buy
CMA,2000/01/31,24.8713,51.2055,-0.0908813,sell
SCS,2000/01/11,5.5064,37.1071,-0.138058,buy
SCS,2000/01/31,5.69662,51.1014,-0.0762633,sell
TR,2000/01/19,13.9784,43.6814,0.079224,buy
TR,2000/01/31,14.1173,51.425,-0.156857,sell
WMK,2000/01/14,20.9384,48.4542,0.0916247,buy
WMK,2000/01/31,21.4684,56.3554,-0.0114485,sell
AFL,2000/01/04,7.49693,35.9297,-0.243267,buy
AFL,2000/01/31,7.47627,52.3439,-0.0797382,sell
TISI,2000/01/18,0.94,42.309,-0.0412527,buy
TISI,2000/01/31,1.095,58.8465,0.152423,sell
CB,2000/01/04,13.2425,39.0914,-0.124711,buy
CB,2000/02/01,14.463,56.5874,0.132881,sell
IIIN,2000/01/06,3.40765,49.8793,-0.060138,buy
IIIN,2000/02/01,3.1729,53.6551,-0.155165,sell
PNM,2000/01/03,5.33203,39.9643,-0.147912,buy
PNM,2000/02/01,5.59461,55.4175,0.154974,sell
DLX,2000/01/25,9.46762,43.6853,-0.0429448,buy
DLX,2000/02/01,9.94607,59.2841,0.0884469,sell
KR,2000/01/10,7.3791,46.9241,0.209082,buy
KR,2000/02/02,7.27906,52.9758,-0.126024,sell
LBAI,2000/01/07,3.46433,37.2419,-0.138933,buy
LBAI,2000/02/02,3.59086,53.1421,-0.0275561,sell
XRAY,2000/01/20,6.94422,44.5144,-0.0615454,buy
XRAY,2000/02/02,7.68899,65.6772,0.254999,sell
COLM,2000/01/05,5.38523,49.5758,0.226544,buy
COLM,2000/02/02,5.4692,57.9302,0.00208126,sell
WASH,2000/01/03,8.75863,43.6078,-0.103968,buy
WASH,2000/02/02,8.82089,64.5394,0.135733,sell
AAN,2000/01/03,4.95135,49.0447,0.0996922,buy
AAN,2000/02/03,5.02442,63.6582,0.0647093,sell
ALE,2000/01/03,7.24457,41.6947,-0.113274,buy
ALE,2000/02/03,7.82859,57.8801,0.0383733,sell
DHI,2000/01/11,1.86048,42.5847,-0.0691225,buy
DHI,2000/02/03,1.87474,52.3344,-0.0658102,sell
FWRD,2000/01/20,14.4752,40.5233,-0.0347707,buy
FWRD,2000/02/03,17.2159,61.93,0.0469855,sell
SHOO,2000/01/04,2.03582,49.3357,0.0410109,buy
SHOO,2000/02/03,2.15558,58.438,0.145003,sell
MLHR,2000/01/25,16.1621,42.1336,-0.0155599,buy
MLHR,2000/02/03,17.3696,53.7533,0.0579387,sell
FE,2000/01/03,8.82962,29.5612,-0.428991,buy
FE,2000/02/03,9.30792,54.7927,0.0763896,sell
PBI,2000/01/25,16.6592,39.8605,-0.113814,buy
PBI,2000/02/03,19.317,59.1662,0.156415,sell
ABT,2000/01/03,9.25851,40.7878,-0.0747256,buy
ABT,2000/02/04,9.13079,55.9607,-0.0276586,sell
AU,2000/01/28,16.7921,34.2926,-0.116572,buy
AU,2000/02/04,19.8512,58.0876,0.123415,sell
MKC,2000/01/03,9.29706,34.3859,-0.366612,buy
MKC,2000/02/04,9.06746,53.2506,-0.0406299,sell
MTD,2000/01/25,34.19,42.5216,-0.0424592,buy
MTD,2000/02/04,37.88,64.7392,0.157172,sell
OFG,2000/02/01,8.4321,37.9367,-0.28452,buy
OFG,2000/02/04,9.15363,57.7432,0.0617555,sell
FCX,2000/01/21,5.69252,46.4586,0.148496,buy
FCX,2000/02/04,5.74827,52.9047,-0.115274,sell
VHI,2000/02/02,0.950096,46.4651,0.146169,buy
VHI,2000/02/04,1.01041,64.0591,0.307976,sell
PRK,2000/01/21,38.8901,42.4618,-0.105291,buy
PRK,2000/02/04,39.0895,50.3064,-0.0162122,sell
KOF,2000/01/04,11.7969,40.3163,0.0107855,buy
KOF,2000/02/07,11.9697,51.9812,-0.119365,sell
LSI,2000/01/27,6.30484,48.4929,0.151553,buy
LSI,2000/02/07,6.49185,56.9355,0.0473397,sell
LGND,2000/01/28,60.0147,48.4133,0.148268,buy
LGND,2000/02/07,70.1736,61.8951,0.190887,sell
DECK,2000/01/25,0.958332,48.1698,-0.0266935,buy
DECK,2000/02/07,0.999999,54.8499,0.124727,sell
SCHW,2000/01/25,19.2627,45.6875,0.0590893,buy
SCHW,2000/02/07,21.1937,58.5703,0.0718915,sell
ATNI,2000/02/02,1.99261,48.4159,-0.0451379,buy
ATNI,2000/02/07,2.07681,62.1489,0.200756,sell
NVO,2000/01/28,1.93305,36.8367,-0.0589334,buy
NVO,2000/02/08,2.0897,54.23,-0.201992,sell
CAKE,2000/01/11,7.9023,47.8173,0.167929,buy
CAKE,2000/02/08,8.37562,61.4077,0.0819022,sell
AZZ,2000/01/12,2.24775,47.4831,0.241748,buy
AZZ,2000/02/08,2.28726,53.5897,-0.112731,sell
FCNCA,2000/01/03,59.7195,32.7052,-0.179621,buy
FCNCA,2000/02/09,56.8572,54.0078,0.0847505,sell
OMC,2000/01/03,33.2441,49.4063,0.114258,buy
OMC,2000/02/09,33.2201,54.0076,-0.00332099,sell
SPNS,2000/01/28,69.4816,45.7553,0.0496396,buy
SPNS,2000/02/09,86.3308,60.9078,0.213051,sell
TELL,2000/01/31,10,43.1918,0.0131248,buy
TELL,2000/02/10,10.752,54.5212,0.143559,sell
NUS,2000/01/25,5.49339,35.4413,-0.0551587,buy
NUS,2000/02/10,6.3346,64.8394,0.0955705,sell
HLX,2000/01/31,7.625,39.8297,-0.117534,buy
HLX,2000/02/11,8.9375,64.3243,0.120752,sell
BBVA,2000/02/10,4.89747,42.3658,-0.100128,buy
BBVA,2000/02/11,5.42755,59.8317,0.117426,sell
CRZO,2000/01/20,1.938,46.2953,0.0289663,buy
CRZO,2000/02/11,2.438,56.5866,0.113364,sell
SRCL,2000/01/19,3.9375,40.3317,-0.0463929,buy
SRCL,2000/02/14,4.125,52.7348,0.0796114,sell
RS,2000/01/24,7.96503,43.1086,-0.0766595,buy
RS,2000/02/14,8.10372,55.9169,-0.0299846,sell
NHTC,2000/01/04,1.28483,33.3997,-0.265791,buy
NHTC,2000/02/15,1.30862,67.1037,0.17214,sell
UMBF,2000/01/10,11.9502,36.2424,-0.116664,buy
UMBF,2000/02/15,11.9066,52.8024,-0.0609305,sell
CENX,2000/01/20,12.9569,44.031,0.0583255,buy
CENX,2000/02/15,14.2813,56.9873,0.0185811,sell
HAL,2000/01/28,13.1681,40.3948,-0.0730152,buy
HAL,2000/02/15,14.1572,53.4332,-0.102855,sell
CRS,2000/01/21,8.39913,41.2905,-0.00115652,buy
CRS,2000/02/16,8.16499,50.6922,-0.124006,sell
CSGS,2000/01/28,33.8643,41.2719,-0.00653499,buy
CSGS,2000/02/16,40.4911,63.4724,-0.00995876,sell
ARNC,2000/01/18,63.8728,47.4253,0.0122975,buy
ARNC,2000/02/17,63.2141,59.1325,0.0964071,sell
AEG,2000/01/05,20.8031,46.1951,-0.0486901,buy
AEG,2000/02/17,17.7472,50.6075,-0.0146345,sell
NVS,2000/01/19,19.9742,40.9957,-0.0367634,buy
NVS,2000/02/17,18.5749,50.775,-0.157556,sell
PSA,2000/01/21,10.9584,43.6044,0.0669788,buy
PSA,2000/02/17,10.9872,51.5317,-0.10099,sell
MSA,2000/02/03,4.00695,47.2154,0.00122264,buy
MSA,2000/02/17,4.0894,55.4635,-0.134214,sell
ARE,2000/01/26,14.6576,47.1828,0.0170865,buy
ARE,2000/02/18,14.7168,53.3532,-0.0514283,sell
MO,2000/01/18,1.86813,43.1697,0.032712,buy
MO,2000/02/22,1.69594,50.7213,-0.0908013,sell
ANAT,2000/01/31,29.9743,35.0491,-0.21858,buy
ANAT,2000/02/22,31.8376,51.679,0.023293,sell
COLM,2000/02/11,4.87596,41.8457,-0.00265731,buy
COLM,2000/02/23,5.85928,63.4085,0.237969,sell
CBU,2000/01/24,5.59363,29.1326,-0.118052,buy
CBU,2000/02/23,5.51386,51.1486,-0.0696872,sell
INTU,2000/01/24,31.0056,49.7946,0.125858,buy
INTU,2000/02/23,31.0056,53.7668,-0.0143547,sell
MDC,2000/01/21,3.8647,43.8719,0.0196749,buy
MDC,2000/02/23,3.86483,58.9309,0.122615,sell
TISI,2000/02/09,0.875,36.0952,-0.0930009,buy
TISI,2000/02/23,1.595,74.2501,0.205515,sell
HTLF,2000/01/21,7.6781,30.6325,-0.0255178,buy
HTLF,2000/02/23,8.12169,66.3532,0.143238,sell
TARO,2000/02/09,6.01386,44.957,0.0841186,buy
TARO,2000/02/23,6.2894,54.247,0.0218583,sell
WGO,2000/02/11,7.86934,40.0993,-0.119412,buy
WGO,2000/02/24,8.59414,58.7606,0.0896041,sell
ORCL,2000/01/28,20.7189,42.575,-0.107112,buy
ORCL,2000/02/25,30.886,69.3068,0.337243,sell
MSM,2000/01/28,9.98712,47.9549,0.126151,buy
MSM,2000/02/25,9.73208,51.1945,-0.126906,sell
TRXC,2000/02/14,747.5,44.9992,0.108419,buy
TRXC,2000/02/28,958.75,56.4703,0.0338954,sell
MRCY,2000/02/22,36.56,46.0482,0.149437,buy
